Variable,variable,n,min,max,median,iqr,mean,sd,se,ci
dfeos,difference,4,1.356,11.633,2.887,2.676,4.691,4.684,2.342,7.454
intpp,difference,5,11.279,25.833,13.138,5.819,16.063,6.04,2.701,7.5
intppdiat,difference,4,18.682,20.609,19.807,1.685,19.726,1.028,0.514,1.636
mlotst,difference,5,2.188,8.632,5.254,2.08,5.622,2.422,1.083,3.007
no3os,difference,5,0.656,4.106,1.835,2.336,2.092,1.497,0.67,1.859
rsntds,difference,5,7.391,14.621,12.391,5.163,11.344,3.196,1.429,3.968
siconc,difference,5,7.954,44.586,32.688,21.223,27.975,15.207,6.801,18.882
tos,difference,5,1.454,153.019,29.421,50.376,51.625,61.198,27.369,75.988
