Percentage,Correlation_npp,p-value_npp,Variable,Model,Season,Correlation_npp_k,p-value_npp_k
-0.7877124547958374,0.706169065037449,0.0,Export,EC-Earth3-CC,summer,0.5000167720108682,0.0
-5.64434289932251,-0.18038030753479362,2.1451918422910072e-26,Export,EC-Earth3-CC,winter,-0.1543148222817191,1.0723745395488733e-41
,0.4583105888867603,2.967662507464859e-177,Surface temperature,EC-Earth3-CC,summer,0.2832848170191775,3.542766032366119e-136
,0.042742097125550375,0.012425665382001697,Surface temperature,EC-Earth3-CC,winter,0.014341604996436802,0.2086023584651473
35.307979583740234,0.5257482375223919,0.0,Surface temperature,MPI-ESM1-2-HR,summer,0.3633613200113836,0.0
-10.812871932983398,-0.29907008888833014,5.495378115549711e-102,Surface temperature,MPI-ESM1-2-HR,winter,-0.24927333132307505,3.624569662521626e-151
5.4301557540893555,0.6816314298567071,0.0,Export,MPI-ESM1-2-HR,summer,0.44290409861968916,0.0
-7.581862449645996,0.2569396813020648,9.696030455766365e-74,Export,MPI-ESM1-2-HR,winter,0.2477192830166749,4.5978608366855853e-147
40.37031555175781,-0.16493185917834652,1.7846003092379387e-30,Surface temperature,ACCESS-ESM1-5,summer,0.3094649784230909,1.2207390027879389e-225
-15.445880889892578,-0.37411383705551726,1.5258559215438526e-158,Surface temperature,ACCESS-ESM1-5,winter,-0.3835194464258226,0.0
29.31285285949707,0.913848269604894,0.0,Export,ACCESS-ESM1-5,summer,0.8515303916770874,0.0
4.748622894287109,0.4857410979857598,2.450209152476738e-280,Export,ACCESS-ESM1-5,winter,0.39776009898194264,0.0
71.85211181640625,-0.0880882419970806,3.2002938411973924e-09,Surface temperature,CMCC-ESM2,summer,-0.21867281726294716,2.7367920564413685e-107
-16.7470645904541,0.017243907765427287,0.2473104238337378,Surface temperature,CMCC-ESM2,winter,0.10176065529751008,1.327718514277303e-24
25.255332946777344,0.16674133384189815,1.983377256023076e-29,Export,CMCC-ESM2,summer,0.048217035732520466,1.2287896481031078e-06
-3.9855668544769287,-0.018098270954078906,0.22470910911546063,Export,CMCC-ESM2,winter,-0.11632392071222437,1.2314147483409026e-31
,0.9670487740046391,0.0,Export,IPSL-CM6A-LR,summer,0.7048563478028109,0.0
,-0.11167582962514658,1.5524542489689062e-16,Export,IPSL-CM6A-LR,winter,-0.10149119715711015,3.502456567174861e-29
86.2286376953125,-0.0171817142177994,0.20554984184472103,Surface temperature,IPSL-CM6A-LR,summer,0.014949458204174216,0.09856050309538995
-9.438555717468262,0.10150506998546818,6.509219290481597e-14,Surface temperature,IPSL-CM6A-LR,winter,0.1992468451681092,2.0141752085951268e-107
