Percentage,Correlation,p-value,Kendall,p_value_k,Variable,Model,Season
-13.7994709014893,-0.441337238400589,1.2324391836783401e-257,-0.326881438737938,1.2656156635352399e-285,MLD,IPSL-CM6A-LR,Winter
-3.61366415023804,-0.62163121293182,0.0,-0.569696325971318,0.0,Nitrate,IPSL-CM6A-LR,Summer
-6.63100147247314,-0.55570668577789,0.0,-0.405926428959687,0.0,Nitrate,IPSL-CM6A-LR,Winter
-0.155300632119179,0.850575705783847,0.0,0.452802567342431,0.0,PAR,IPSL-CM6A-LR,Summer
18.5949897766113,-0.171380288724555,4.64358386577251e-37,-0.129060397359821,3.9128085008681404e-46,PAR,IPSL-CM6A-LR,Winter
-87.3641815185547,0.389970000668551,6.62211121122975e-189,0.410568084546058,0.0,Sea ice cover,IPSL-CM6A-LR,Summer
-68.5374755859375,0.536636557954436,0.0,0.429702946766782,0.0,Sea ice cover,IPSL-CM6A-LR,Winter
0.865203499794006,-0.035869931493644,0.008212624108765,0.006557283812969,0.468762225062877,SST,IPSL-CM6A-LR,Summer
0.312999606132507,-0.453747948054235,5.10273611986756e-274,-0.437987938757605,0.0,SST,IPSL-CM6A-LR,Winter
-0.875959098339081,-0.67406643436327,0.0,-0.472374812195451,0.0,Iron,MPI-ESM1-2-HR,Summer
-0.47258847951889,0.027877460479897,0.052609712090988,-0.012003397378533,0.210793451599015,Iron,MPI-ESM1-2-HR,Winter
-3.57142734527588,0.681631429856707,0.0,0.442904269832637,0.0,NPP,MPI-ESM1-2-HR,Summer
33.0383415222168,0.256939681302065,9.69603045576636e-74,0.247720139081416,4.58725987539281e-147,NPP,MPI-ESM1-2-HR,Winter
1.30455434322357,0.611169631018737,0.0,0.391200527644067,0.0,MLD,MPI-ESM1-2-HR,Summer
-18.8587894439697,0.183053076186425,1.07961426283211e-37,0.064926689397754,1.29870219821838e-11,MLD,MPI-ESM1-2-HR,Winter
2.7568519115448,-0.686264245562598,0.0,-0.471779847200152,0.0,Nitrate,MPI-ESM1-2-HR,Summer
0.799703598022461,0.006825738073791,0.635174954125525,-0.038572222693772,5.78880331323469e-05,Nitrate,MPI-ESM1-2-HR,Winter
-7.36786937713623,0.727921558550167,0.0,0.540845438409806,0.0,PAR,MPI-ESM1-2-HR,Summer
27.0338497161865,0.13995965552537,1.4188443379123699e-22,0.162725066376051,1.50302082638613e-64,PAR,MPI-ESM1-2-HR,Winter
0.350692927837372,0.594887204007057,0.0,0.362945114645698,0.0,SST,MPI-ESM1-2-HR,Summer
0.169867143034935,-0.095135077761001,3.4077179835419396e-11,-0.02455916346946,0.010456514490774,SST,MPI-ESM1-2-HR,Winter
-82.71925354003906,-0.0229350018204104,0.1710298654861303,0.0839247504308892,1.729301632897687e-13,Sea ice cover,MPI-ESM1-2-HR,Summer
-67.49993896484375,-0.0069003458256519,0.6355001403833089,0.0922491098685016,7.009389067757306e-21,Sea ice cover,MPI-ESM1-2-HR,Winter
-100.0,-0.0041780988376584,0.8271454447735032,0.2579434458642076,1.0277014590578367e-76,Sea ice cover,EC-Earth3-CC,Summer
-95.51498413085938,-0.0749768892971894,1.1406199667061832e-05,-0.0860248129327721,1.0795826247697577e-13,Sea ice cover,EC-Earth3-CC,Winter
