Percentage,Correlation,p-value,Kendall,p_value_k,Variable,Model,Zone
-2.462672233581543,0.0786372655913917,6.1012434288608e-08,0.0879300444238286,1.2045995885111403e-19,Iron,ACCESS-ESM1-5,Inc
-1.1070709228515625,0.6512913265525507,1.97203557268588e-11,0.5054503729202524,9.982148917418107e-12,Iron,ACCESS-ESM1-5,Dec
27.305784225463867,0.962277274071306,0.0,0.9193238479375996,0.0,NPP,ACCESS-ESM1-5,Inc
1.4728189706802368,0.9739683806511334,1.2570042829454024e-54,0.8668961560527826,1.725820439110117e-31,NPP,ACCESS-ESM1-5,Dec
-15.599907875061035,-0.0019121542009715,0.8953895421948691,-0.2499949279704776,1.365363650568229e-146,MLD,ACCESS-ESM1-5,Inc
-6.968351364135742,-0.6132287411831046,5.61102429750339e-10,-0.4268502581755594,9.01591802107486e-09,MLD,ACCESS-ESM1-5,Dec
-4.090665817260742,-0.202289114311721,7.099598391861388e-45,-0.3749013803026231,0.0,Nitrate,ACCESS-ESM1-5,Inc
-2.2560529708862305,0.1625164871516019,0.1396733484365891,0.0917957544463568,0.216388725476659,Nitrate,ACCESS-ESM1-5,Dec
10.203721046447754,0.2326014133097863,3.790180522103515e-59,0.6980525059200873,0.0,PAR,ACCESS-ESM1-5,Inc
-3.537234306335449,0.3151947485442137,0.0034963663201539,0.1606425702811245,0.0305158969058789,PAR,ACCESS-ESM1-5,Dec
-60.780517578125,0.1971788764654803,1.1107642459264049e-42,0.4869409529670035,0.0,Sea ice cover,ACCESS-ESM1-5,Inc
-28.09261512756348,-0.4134828734496977,9.255879485920568e-05,-0.4520940906483075,1.1416904138990364e-09,Sea ice cover,ACCESS-ESM1-5,Dec
0.4215584099292755,-0.221233070452195,1.535108148545873e-53,-0.1929791578902306,3.8365236813829536e-88,SST,ACCESS-ESM1-5,Inc
0.2059820890426635,0.5024733200604897,1.1142198179820325e-06,0.3958691910499139,9.764096642578649e-08,SST,ACCESS-ESM1-5,Dec
10.22919464111328,0.4708335673249177,4.4358860841205934e-204,0.3001055929374094,2.318832587794687e-165,Iron,CMCC-ESM2,Inc
7.413453102111816,0.10620818864457,8.85751937572843e-05,-0.0061344758849014,0.7349628109397521,Iron,CMCC-ESM2,Dec
19.662830352783203,0.4163049075548552,1.782052629939757e-155,0.5662374806409921,0.0,NPP,CMCC-ESM2,Inc
1.7214782238006592,0.5434132484871611,4.2049228176165924e-105,0.3575995113287813,1.097861552995289e-86,NPP,CMCC-ESM2,Dec
20.748764038085938,0.4436346948499833,1.0028564401159769e-178,0.5969140409537811,0.0,Diatom,CMCC-ESM2,Inc
0.1395942419767379,0.5802825351993297,5.8589242592978715e-123,0.3965953876219232,3.5213269980248147e-106,Diatom,CMCC-ESM2,Dec
-7.642435550689697,0.0905792093354563,3.2637859649540984e-08,-0.0077194033017959,0.4808425488613307,MLD,CMCC-ESM2,Inc
-9.83082675933838,-0.0843053201900099,0.001881869690875,-0.0186990650467476,0.3021148453862421,MLD,CMCC-ESM2,Dec
-6.803187370300293,0.1766878293696112,2.1340489795320843e-27,0.0886079601383364,5.878069297630904e-16,Nitrate,CMCC-ESM2,Inc
-6.147003173828125,-0.0698273532382272,0.0100811068270083,-0.0365351297652508,0.0437798110763952,Nitrate,CMCC-ESM2,Dec
9.15578556060791,0.3502330230972591,1.594290601787592e-107,0.2510008800622657,2.817162930854708e-116,PAR,CMCC-ESM2,Inc
-5.464960098266602,0.3935828438072293,1.6472775726956626e-51,0.2737776154670527,1.4249286337866403e-51,PAR,CMCC-ESM2,Dec
-55.10997772216797,0.1338000619732675,2.7501677773580336e-16,0.1588927295005835,1.1964966328320334e-47,Sea ice cover,CMCC-ESM2,Inc
-99.69554138183594,0.3977654254701572,1.1417474733666233e-52,0.3992877147790922,2.8020552172853937e-100,Sea ice cover,CMCC-ESM2,Dec
0.2997334599494934,-0.1206587592687078,1.658635179105132e-13,-0.1413316047001575,4.1301032026894915e-38,SST,CMCC-ESM2,Inc
0.5620537996292114,-0.4463029342880157,2.125945526410702e-67,-0.3044891233699184,2.3104340415861321e-63,SST,CMCC-ESM2,Dec
16.934192657470703,0.9294047569448036,0.0,0.7172274628668635,0.0,NPP,EC-Earth3-CC,Inc
3.7958524227142334,0.6710875180504838,3.965168427772429e-183,0.4347175874428377,1.341699004494971e-130,NPP,EC-Earth3-CC,Dec
12.58241844177246,0.9392038196222998,0.0,0.7174697990510347,0.0,Diatom,EC-Earth3-CC,Inc
-6.422223091125488,0.7225648972854022,1.9473949771693788e-225,0.476420302393606,1.8787708455168887e-156,Diatom,EC-Earth3-CC,Dec
-13.72400951385498,0.3935320900665567,1.1786733169015537e-102,0.2958354605944998,9.243798685889033e-120,MLD,EC-Earth3-CC,Inc
-18.977813720703125,-0.0307741848875385,0.2508713199210361,-0.0183228278333951,0.3054234085737379,MLD,EC-Earth3-CC,Dec
-3.2997477054595947,0.1534409474590953,5.715881233654411e-16,0.0603939784473906,2.0321680287936418e-06,Nitrate,EC-Earth3-CC,Inc
-4.063158512115479,-0.0001077397901508,0.9967933122957552,0.006146747414823,0.7309867076784216,Nitrate,EC-Earth3-CC,Dec
7.4225568771362305,0.7354684356011187,0.0,0.507689554148938,0.0,PAR,EC-Earth3-CC,Inc
-1.155460000038147,0.2077619065936093,4.660238332051622e-15,0.1081015943641082,1.4795809546103307e-09,PAR,EC-Earth3-CC,Dec
-88.3041763305664,0.1311688848385969,4.879152193808618e-12,0.2232226935117565,5.759432290862328e-68,Sea ice cover,EC-Earth3-CC,Inc
