Correlation_ice,p-value_ice,Variable,Model,Season,Correlation_ice_k,p-value_ice_k
-0.03770797953453134,0.04862988291019343,NPP,EC-Earth3-CC,summer,0.09977567517663231,7.413891776825999e-13
0.005145266061375055,0.7635737933465603,NPP,EC-Earth3-CC,winter,0.2839021642516321,7.591256842503046e-133
-0.03770797953453134,0.04862988291019343,NPP,EC-Earth3-CC,summer,0.09977567517663231,7.413891776825999e-13
0.005145266061375055,0.7635737933465603,NPP,EC-Earth3-CC,winter,0.2839021642516321,7.591256842503046e-133
0.0004889725844417868,0.979608113870473,Diatom,EC-Earth3-CC,summer,0.1986582231353243,2.960023727853472e-46
-0.027923616965389367,0.10252877686993332,Diatom,EC-Earth3-CC,winter,0.24069574980096123,4.865316909658581e-96
-0.035662883507143445,0.06220795215499599,Mixed layer depth,EC-Earth3-CC,summer,-0.007515973364474071,0.5890414258005092
-0.09015357594178071,1.2842506102536165e-07,Mixed layer depth,EC-Earth3-CC,winter,-0.06651594581135323,9.110947961013985e-09
-0.02701838455476841,0.15777382107140875,Nitrate,EC-Earth3-CC,summer,-0.33651071235344615,3.020525000269251e-129
-0.4526461455206893,2.0429633848552573e-172,Nitrate,EC-Earth3-CC,winter,-0.3092938881655402,2.7004165451554425e-157
-0.011184075935901688,0.5587850536466472,PAR,EC-Earth3-CC,summer,0.5254974747124636,0.0
0.05621645886986555,0.0010055079648549807,PAR,EC-Earth3-CC,winter,0.34374992962151535,8.263969554266794e-194
-0.3474637392008225,9.228516244465091e-104,Iron,MPI-ESM1-2-HR,summer,-0.3413552895925305,1.2544766482952927e-201
-0.00021666739051509157,0.9880313910420443,Iron,MPI-ESM1-2-HR,winter,-0.24771720280214474,4.167516020386832e-142
0.25544928223570706,2.6217489781508177e-55,NPP,MPI-ESM1-2-HR,summer,0.2743464004568882,5.84751869470557e-131
-0.008521950354718142,0.5551713258062914,NPP,MPI-ESM1-2-HR,winter,0.29594878698762095,5.900363561456359e-202
-0.18981539770310907,7.238881211945623e-31,Mixed layer depth,MPI-ESM1-2-HR,summer,0.02051264104646868,0.0686674050958943
-0.01477616363606984,0.3062676303741949,Mixed layer depth,MPI-ESM1-2-HR,winter,-0.378812849071698,0.0
-0.34531673120534073,2.0076394569015663e-102,Nitrate,MPI-ESM1-2-HR,summer,-0.33645187558662726,6.165004834595057e-196
-0.0027234228081274995,0.850440177833145,Nitrate,MPI-ESM1-2-HR,winter,-0.2564479428975513,3.7261627090660856e-152
0.2219547510259315,7.500033760369758e-42,PAR,MPI-ESM1-2-HR,summer,0.2992973352031148,1.761860498195676e-155
-0.00874125566102167,0.5450372502057796,PAR,MPI-ESM1-2-HR,winter,0.2311862212772854,4.962979792474656e-124
0.30943078931042334,1.7168111676728345e-106,Iron,ACCESS-ESM1-5,summer,0.2053640962268579,2.8745054024087735e-100
0.28617822340514554,1.0604904511184002e-90,Iron,ACCESS-ESM1-5,winter,0.2600493641552131,1.9179070041270339e-159
0.34045646418001596,6.548105417713567e-130,NPP,ACCESS-ESM1-5,summer,0.418735241864315,0.0
0.3565684932682677,3.4927164030152914e-143,NPP,ACCESS-ESM1-5,winter,0.40201965909760196,0.0
-0.6315203432278893,0.0,Mixed layer depth,ACCESS-ESM1-5,summer,-0.4226719378208591,0.0
-0.1897321958470239,5.96525916835722e-40,Mixed layer depth,ACCESS-ESM1-5,winter,-0.20293452409550788,7.156122214851921e-98
-0.42326872810157373,5.957470196803704e-207,Nitrate,ACCESS-ESM1-5,summer,-0.29622128010874066,1.9026640872323754e-206
-0.4726422243066003,2.0008603427289616e-264,Nitrate,ACCESS-ESM1-5,winter,-0.2971363260475614,1.5597065671684048e-207
0.5320823407332231,0.0,PAR,ACCESS-ESM1-5,summer,0.4604041613912424,0.0
-0.07315950691270587,4.161643705874205e-07,PAR,ACCESS-ESM1-5,winter,0.05603760477276719,6.722252429018144e-09
-0.1442520591309426,2.2864884063054987e-22,Iron,CMCC-ESM2,summer,-0.2067655285657395,4.793890821018646e-95
0.1071675037345754,8.435045057061417e-13,Iron,CMCC-ESM2,winter,0.0864668912021927,2.0904444291725207e-17
0.26981099392734487,5.873792932060978e-76,NPP,CMCC-ESM2,summer,0.4092122457333734,0.0
-0.010497105854211432,0.484722251354314,NPP,CMCC-ESM2,winter,-0.11233834072856615,2.784287789095471e-28
0.3203059744893546,5.867376651192326e-108,Diatom,CMCC-ESM2,summer,0.4236546243257693,0.0
0.005573752204061633,0.7106353030171206,Diatom,CMCC-ESM2,winter,-0.08086706885270283,2.039717031877261e-15
-0.21595833526352862,1.144755073960606e-48,Mixed layer depth,CMCC-ESM2,summer,-0.04198954749583756,2.66286080843871e-05
-0.44338077847900337,6.66972612064854e-213,Mixed layer depth,CMCC-ESM2,winter,-0.3080350319587654,6.954346190995896e-201
-0.4129878790446664,4.848723291616972e-185,Nitrate,CMCC-ESM2,summer,-0.35255570014310467,1.7653514349894077e-272
-0.2767385772104627,9.399326961077227e-79,Nitrate,CMCC-ESM2,winter,-0.18085014533413107,1.5915135157417103e-70
0.09189377223668682,6.498488902821815e-10,PAR,CMCC-ESM2,summer,0.3152497969589348,2.717073453864521e-218
-0.16976947620859442,5.086926931846175e-30,PAR,CMCC-ESM2,winter,0.02852395865746558,0.005106103429054665
0.5504031544205867,0.0,Iron,IPSL-CM6A-LR,summer,0.26802161337899694,2.39178601048712e-177
0.24402158657274559,1.920326269772006e-74,Iron,IPSL-CM6A-LR,winter,0.09952945199148103,9.554830981583491e-28
0.3885389404543453,1.872949665364308e-187,NPP,IPSL-CM6A-LR,summer,0.3132060397208446,2.0295616393172577e-241
-0.27897684175267534,1.2234369768257013e-97,NPP,IPSL-CM6A-LR,winter,-0.13093657234692055,8.96145593809717e-47
0.45856922618536583,1.736758196119932e-269,Diatom,IPSL-CM6A-LR,summer,0.4333993622914911,0.0
-0.27881381336283717,1.599746697450332e-97,Diatom,IPSL-CM6A-LR,winter,-0.1309653724203848,8.561997828362716e-47
-0.5129747171452955,0.0,Mixed layer depth,IPSL-CM6A-LR,summer,-0.33208203388713103,3.9560712445862745e-271
-0.5326788824859523,0.0,Mixed layer depth,IPSL-CM6A-LR,winter,-0.3674372488053045,0.0
-0.42125578709314887,2.3176569622672484e-223,Nitrate,IPSL-CM6A-LR,summer,-0.3093779675004294,1.3213878648385445e-235
-0.6539655217010142,0.0,Nitrate,IPSL-CM6A-LR,winter,-0.4592353101746272,0.0
