Percentage,Correlation,p-value,Kendall,p_value_k,Variable,Model,Season,Correlation_ice,p-value_ice,Correlation_ice_k,p-value_ice_k,Correlation_npp,p-value_npp,Correlation_npp_k,p-value_npp_k
-3.42290210723877,0.066764354869853,4.03238684922386e-06,0.000544001498014,0.955125419212673,Iron,ACCESS-ESM1-5,Summer,0.3094307893104233,1.7168111676728345e-106,0.2053640962268579,2.874505402408773e-100,0.1139729353139065,2.7844931752770087e-15,0.062245879780124,1.1168422404294655e-10
-2.19517612457275,0.057344930899992,7.55207625175348e-05,0.10627725030806,4.11404012412985e-28,Iron,ACCESS-ESM1-5,Winter,0.2861782234051455,1.0604904511184e-90,0.2600493641552131,1.9179070041270336e-159,0.0219838754967079,0.128747159822239,0.0194332921150253,0.0440332859109145
23.9320297241211,0.913848337641285,0.0,0.851530038372022,0.0,NPP,ACCESS-ESM1-5,Summer,0.3404564641800159,6.548105417713567e-130,0.418735241864315,0.0,,,,
59.1864051818848,0.48574109798576,2.4502091524767396e-280,0.397760275634467,0.0,NPP,ACCESS-ESM1-5,Winter,0.3565684932682677,3.4927164030152923e-143,0.4020196590976019,0.0,,,,
-2.8343915939331,-0.145343506542198,6.94608904088985e-24,-0.334398194752519,3.54429373779431e-262,MLD,ACCESS-ESM1-5,Summer,-0.6315203432278893,0.0,-0.4226719378208591,0.0,-0.3015429811255873,5.7034328500143756e-101,-0.3582029851790801,1.3996155993621536e-301
-17.2015991210937,-0.015152311281837,0.29598819881528,-0.353101914688221,4.45825963929969e-292,MLD,ACCESS-ESM1-5,Winter,-0.1897321958470239,5.96525916835722e-40,-0.2029345240955078,7.156122214851921e-98,-0.1809137744774272,2.018279683496029e-36,-0.3173670410239262,3.3563838406427225e-237
-4.98028373718262,-0.1254914150652,3.65055666314781e-18,-0.415281662968078,0.0,Nitrate,ACCESS-ESM1-5,Summer,-0.4232687281015737,5.957470196803704e-207,-0.2962212801087406,1.9026640872323754e-206,-0.2297795198338753,2.9334221010483764e-58,-0.3668098228322961,0.0
-3.66262006759644,-0.16574475194612,1.1655623923355298e-30,-0.411459148971162,0.0,Nitrate,ACCESS-ESM1-5,Winter,-0.4726422243066003,2.0008603427289616e-264,-0.2971363260475614,1.5597065671684048e-207,-0.3425894252956477,1.2694824179576427e-131,-0.3144562252799776,6.579990525037506e-233
0.289669454097748,0.13158968380619,7.86294202589282e-20,0.626445624895499,0.0,PAR,ACCESS-ESM1-5,Summer,0.5320823407332231,0.0,0.4604041613912424,0.0,0.2940746678762055,6.717118150216789e-96,0.7138898117941289,0.0
40.5426635742188,0.046131822459032,0.00145613776182,-0.094935451609088,9.22117215688806e-23,PAR,ACCESS-ESM1-5,Winter,-0.0731595069127058,4.161643705874205e-07,0.0560376047727671,6.722252429018144e-09,0.4080741326084704,4.192594337056109e-191,0.4356127934611978,0.0
-83.9344635009766,0.210444783333553,8.853260487294689e-49,0.412235688628048,0.0,Sea ice fraction,ACCESS-ESM1-5,Summer,,,,,0.3404564641800159,6.548105417713567e-130,0.418735241864315,0.0
-76.3078308105469,0.141303844291068,1.18840600139746e-22,0.455725379469864,0.0,Sea ice fraction,ACCESS-ESM1-5,Winter,,,,,0.3565684932682677,3.4927164030152923e-143,0.4020196590976019,0.0
40.37031555175781,-0.138718372006307,7.008729105260069e-22,0.280058565614117,1.60277487137764e-184,SST,ACCESS-ESM1-5,Summer,-0.2551723711561348,7.185416754281365e-72,-0.0943808750373706,1.5296163205714291e-22,-0.1649318591783465,1.7846003092379387e-30,0.3094649784230909,1.2207390027879387e-225
-15.445880889892578,-0.103842283596243,6.91266915716974e-13,-0.435681674079523,0.0,SST,ACCESS-ESM1-5,Winter,-0.9036806642436896,0.0,-0.8006470399449022,0.0,-0.3741138370555172,1.5258559215438526e-158,-0.3835194464258226,0.0
7.41173553466797,-0.360676235010932,2.17639719491073e-138,-0.268821549207042,4.35636183764177e-161,Iron,CMCC-ESM2,Summer,-0.1442520591309426,2.2864884063054987e-22,-0.2067655285657395,4.793890821018646e-95,-0.0330810905664903,0.0264270543084328,0.0901263020960506,1.2090792237982998e-19
11.1953802108765,0.767070833191951,0.0,0.559551157544239,0.0,Iron,CMCC-ESM2,Winter,0.1071675037345754,8.435045057061417e-13,0.0864668912021927,2.0904444291725207e-17,-0.0210586184502498,0.1576880308505208,-0.0987286919535256,2.96628194685142e-23
-2.2791531085968,0.166741333841898,1.98337725602308e-29,0.048216838333275,1.22891270609122e-06,NPP,CMCC-ESM2,Summer,0.2698109939273448,5.873792932060978e-76,0.4092122457333734,0.0,,,,
-11.1869354248047,-0.018098265210004,0.224709252267236,-0.11632411811147,1.2311265218260402e-31,NPP,CMCC-ESM2,Winter,-0.0104971058542114,0.484722251354314,-0.1123383407285661,2.784287789095471e-28,,,,
-3.36848378181458,0.146190308183885,6.2540363489239e-23,0.032011544697457,0.001279389125959,Diatom,CMCC-ESM2,Summer,0.3203059744893546,5.867376651192326e-108,0.4236546243257693,0.0,0.9935210351138908,0.0,0.9125159958023936,0.0
-4.8989372253418,0.005822102512769,0.696137214500336,-0.072820680255565,2.36735324354747e-13,Diatom,CMCC-ESM2,Winter,0.0055737522040616,0.7106353030171206,-0.0808670688527028,2.039717031877261e-15,-0.0012754964227308,0.9318100894140732,0.7417469749423184,0.0
1.07054722309113,0.709687525747994,0.0,0.504644162692115,0.0,MLD,CMCC-ESM2,Summer,-0.2159583352635286,1.144755073960606e-48,-0.0419895474958375,2.66286080843871e-05,-0.0657858299206971,9.958214393588776e-06,-0.13580018178315,1.6686612125401388e-42
