Percentage,Correlation,p-value,Kendall,p_value_k,Variable,Model,Zone,Correlation_ice,p-value_ice,Correlation_ice_k,p-value_ice_k,Correlation_npp,p-value_npp,Correlation_npp_k,p-value_npp_k
-2.462672233581543,0.0786372655913917,6.1012434288608e-08,0.0879300444238286,1.2045995885111403e-19,Iron,ACCESS-ESM1-5,Inc,0.2193097530980797,9.92796429466279e-53,0.2022800623926749,1.2379405754794713e-96,0.1026376809920142,1.4009124781483705e-12,0.0885297253659266,6.234477521631476e-20
-1.1070709228515625,0.6512913265525507,1.97203557268588e-11,0.5054503729202524,9.982148917418107e-12,Iron,ACCESS-ESM1-5,Dec,-0.2010761600112902,0.0666450256484304,-0.2352266207687894,0.0015363333481877,0.6630606569655147,6.348163390801543e-12,0.5295467584624212,9.945498800225209e-13
27.305784225463867,0.962277274071306,0.0,0.9193238479375996,0.0,NPP,ACCESS-ESM1-5,Inc,0.2731902028641144,6.421685807949306e-82,0.4569786725147191,0.0,,,,
1.4728189706802368,0.9739683806511334,1.2570042829454024e-54,0.8668961560527826,1.725820439110117e-31,NPP,ACCESS-ESM1-5,Dec,-0.3608235380357454,0.0007467912623579,-0.4348823866896156,4.728937549200762e-09,,,,
-15.599907875061035,-0.0019121542009715,0.8953895421948691,-0.2499949279704776,1.365363650568229e-146,MLD,ACCESS-ESM1-5,Inc,-0.3623411669321777,4.6442230591485145e-147,-0.3116494785734256,1.2755154298274466e-226,-0.0251804251261605,0.0829866433383981,-0.230919887778482,1.250905469983081e-125
-6.968351364135742,-0.6132287411831046,5.61102429750339e-10,-0.4268502581755594,9.01591802107486e-09,MLD,ACCESS-ESM1-5,Dec,0.0414453493278079,0.7081646662435664,0.1267928858290304,0.0877320282114437,-0.56216267768998,2.6295734964332793e-08,-0.3843947217441193,2.260424199668211e-07
-4.090665817260742,-0.202289114311721,7.099598391861388e-45,-0.3749013803026231,0.0,Nitrate,ACCESS-ESM1-5,Inc,-0.554403193161098,0.0,-0.3685960174970754,0.0,-0.2826802311078154,8.124048213481655e-88,-0.3559035112412425,1.397593566398873e-295
-2.2560529708862305,0.1625164871516019,0.1396733484365891,0.0917957544463568,0.216388725476659,Nitrate,ACCESS-ESM1-5,Dec,-0.0989675770419503,0.3704326223326271,-0.0189328743545611,0.7987510932549102,0.1093879804171838,0.3219241162509904,0.0045897877223178,0.9507146214683396
10.203721046447754,0.2326014133097863,3.790180522103515e-59,0.6980525059200873,0.0,PAR,ACCESS-ESM1-5,Inc,0.5054096078929701,6.730970608973577e-306,0.4412242962457176,0.0,0.3646186875759097,5.023971807388558e-149,0.7168183390620059,0.0
-3.537234306335449,0.3151947485442137,0.0034963663201539,0.1606425702811245,0.0305158969058789,PAR,ACCESS-ESM1-5,Dec,0.0767678229321092,0.4876373682217433,-0.1772805507745266,0.0169685771983975,0.4223512900941846,6.284697192689632e-05,0.2088353413654618,0.0049184399359755
-60.780517578125,0.1971788764654803,1.1107642459264049e-42,0.4869409529670035,0.0,Sea ice fraction,ACCESS-ESM1-5,Inc,,,,,0.2731902028641144,6.421685807949306e-82,0.4569786725147191,0.0
-28.09261512756348,-0.4134828734496977,9.255879485920568e-05,-0.4520940906483075,1.1416904138990364e-09,Sea ice fraction,ACCESS-ESM1-5,Dec,,,,,-0.3608235380357454,0.0007467912623579,-0.4348823866896156,4.728937549200762e-09
-11.116325378417969,-0.221233070452195,1.535108148545873e-53,-0.1929791578902306,3.8365236813829536e-88,SST,ACCESS-ESM1-5,Inc,-0.7808619091673642,0.0,-0.5929584310809214,0.0,-0.2849460337259363,2.929969004007632e-89,-0.157196816815411,3.111323800201232e-59
18.30488395690918,0.5024733200604897,1.1142198179820325e-06,0.3958691910499139,9.764096642578649e-08,SST,ACCESS-ESM1-5,Dec,-0.818554101321937,1.9300326017816204e-21,-0.6775674125071716,7.199369489009555e-20,0.4945011529712271,1.7444979474411166e-06,0.4394721744119334,3.25385922014296e-09
10.22919464111328,0.4708335673249177,4.4358860841205934e-204,0.3001055929374094,2.318832587794687e-165,Iron,CMCC-ESM2,Inc,0.0926480881074951,1.572728959042202e-08,0.0377581325522215,0.0005692038864698,0.1323082484685672,5.881650022773359e-16,0.2647619918303189,3.7473729878854526e-129
7.413453102111816,0.10620818864457,8.85751937572843e-05,-0.0061344758849014,0.7349628109397521,Iron,CMCC-ESM2,Dec,-0.4885565620657436,2.215610823226585e-82,-0.3383388155881827,1.3515067114020198e-72,0.2138646472485568,1.6360193722811069e-15,0.1533910786051271,2.4959858408637352e-17
19.662830352783203,0.4163049075548552,1.782052629939757e-155,0.5662374806409921,0.0,NPP,CMCC-ESM2,Inc,0.0600819419067357,0.0002505939196647,0.1394950948119681,3.9981156657902084e-37,,,,
1.7214782238006592,0.5434132484871611,4.2049228176165924e-105,0.3575995113287813,1.097861552995289e-86,NPP,CMCC-ESM2,Dec,0.3086263395621562,2.3422235449821736e-31,0.2496512640840961,2.420408439713165e-40,,,,
20.748764038085938,0.4436346948499833,1.0028564401159769e-178,0.5969140409537811,0.0,Diatom,CMCC-ESM2,Inc,0.083052502205029,4.067787723325269e-07,0.1755698549670306,8.851100896378401e-58,0.9981528844320792,0.0,0.9172423831913498,0.0
0.1395942419767379,0.5802825351993297,5.8589242592978715e-123,0.3965953876219232,3.5213269980248147e-106,Diatom,CMCC-ESM2,Dec,0.365680056761376,3.1787051794384923e-44,0.3022595797628196,2.608230605586856e-58,0.9916952339765212,0.0,0.9061387905183724,0.0
