,Variable,Model,Type,Correlation
98,SST,CMCC-ESM2,Correlation_ice,-0.8842151094932986
99,NPP,EC-Earth3-CC,Correlation_ice,0.1376410869924293
100,Diatom,EC-Earth3-CC,Correlation_ice,0.0316027470323698
101,MLD,EC-Earth3-CC,Correlation_ice,-0.2644435762669282
102,Nitrate,EC-Earth3-CC,Correlation_ice,-0.5637546861506962
103,PAR,EC-Earth3-CC,Correlation_ice,0.3979656643789022
104,Sea ice fraction,EC-Earth3-CC,Correlation_ice,
105,SST,EC-Earth3-CC,Correlation_ice,-0.3922012610346913
106,Iron,IPSL-CM6A-LR,Correlation_ice,0.3514175622248103
107,NPP,IPSL-CM6A-LR,Correlation_ice,0.2834765263542586
108,Diatom,IPSL-CM6A-LR,Correlation_ice,0.343492774645571
109,MLD,IPSL-CM6A-LR,Correlation_ice,-0.5966058961329108
110,Nitrate,IPSL-CM6A-LR,Correlation_ice,-0.6211022506694167
111,PAR,IPSL-CM6A-LR,Correlation_ice,0.398022534549003
112,Sea ice fraction,IPSL-CM6A-LR,Correlation_ice,
113,SST,IPSL-CM6A-LR,Correlation_ice,-0.8658719390499195
114,Iron,MPI-ESM1-2-HR,Correlation_ice,-0.4372319115183772
115,NPP,MPI-ESM1-2-HR,Correlation_ice,0.2194236735724421
116,MLD,MPI-ESM1-2-HR,Correlation_ice,-0.6290628799356609
117,Nitrate,MPI-ESM1-2-HR,Correlation_ice,-0.4455190631447286
118,PAR,MPI-ESM1-2-HR,Correlation_ice,0.3260697473352501
119,Sea ice fraction,MPI-ESM1-2-HR,Correlation_ice,
120,SST,MPI-ESM1-2-HR,Correlation_ice,-0.7650580600529665
121,Export,EC-Earth3-CC,Correlation_ice,0.1474182907537977
122,Export,MPI-ESM1-2-HR,Correlation_ice,0.1862668137102231
123,Export,ACCESS-ESM1-5,Correlation_ice,0.1947368926052193
124,Export,CMCC-ESM2,Correlation_ice,0.2192365866497695
125,Export,IPSL-CM6A-LR,Correlation_ice,0.3197642704549931
126,Iron,ACCESS-ESM1-5,Correlation_ice_k,0.1994959811416189
127,NPP,ACCESS-ESM1-5,Correlation_ice_k,0.4431918956917546
128,MLD,ACCESS-ESM1-5,Correlation_ice_k,-0.3003965376569072
129,Nitrate,ACCESS-ESM1-5,Correlation_ice_k,-0.3607290541006864
130,PAR,ACCESS-ESM1-5,Correlation_ice_k,0.4290815341687747
131,Sea ice fraction,ACCESS-ESM1-5,Correlation_ice_k,
132,SST,ACCESS-ESM1-5,Correlation_ice_k,-0.5970162781553349
133,Iron,CMCC-ESM2,Correlation_ice_k,-0.0115586064651518
134,NPP,CMCC-ESM2,Correlation_ice_k,0.2387777462129985
135,Diatom,CMCC-ESM2,Correlation_ice_k,0.2689606903907966
136,MLD,CMCC-ESM2,Correlation_ice_k,-0.3066863337258004
137,Nitrate,CMCC-ESM2,Correlation_ice_k,-0.2664407185247445
138,PAR,CMCC-ESM2,Correlation_ice_k,0.2021458080603411
139,Sea ice fraction,CMCC-ESM2,Correlation_ice_k,
140,SST,CMCC-ESM2,Correlation_ice_k,-0.7453901895079985
141,NPP,EC-Earth3-CC,Correlation_ice_k,0.2279361293428137
142,Diatom,EC-Earth3-CC,Correlation_ice_k,0.117251494929302
143,MLD,EC-Earth3-CC,Correlation_ice_k,-0.1461161019912367
144,Nitrate,EC-Earth3-CC,Correlation_ice_k,-0.3800261254930162
145,PAR,EC-Earth3-CC,Correlation_ice_k,0.4228368451395006
146,Sea ice fraction,EC-Earth3-CC,Correlation_ice_k,
147,SST,EC-Earth3-CC,Correlation_ice_k,-0.2634908085608355
148,Iron,IPSL-CM6A-LR,Correlation_ice_k,0.2044908885379129
149,NPP,IPSL-CM6A-LR,Correlation_ice_k,0.1791115504342769
150,Diatom,IPSL-CM6A-LR,Correlation_ice_k,0.3038290877429691
151,MLD,IPSL-CM6A-LR,Correlation_ice_k,-0.3958605830726611
152,Nitrate,IPSL-CM6A-LR,Correlation_ice_k,-0.4255497467102574
153,PAR,IPSL-CM6A-LR,Correlation_ice_k,0.320273170334487
154,Sea ice fraction,IPSL-CM6A-LR,Correlation_ice_k,
155,SST,IPSL-CM6A-LR,Correlation_ice_k,-0.7104345263918012
156,Iron,MPI-ESM1-2-HR,Correlation_ice_k,-0.2763778018780649
157,NPP,MPI-ESM1-2-HR,Correlation_ice_k,0.0961908607579806
158,MLD,MPI-ESM1-2-HR,Correlation_ice_k,-0.4845805669661944
159,Nitrate,MPI-ESM1-2-HR,Correlation_ice_k,-0.2732725716956962
160,PAR,MPI-ESM1-2-HR,Correlation_ice_k,0.2231300043870527
161,Sea ice fraction,MPI-ESM1-2-HR,Correlation_ice_k,
162,SST,MPI-ESM1-2-HR,Correlation_ice_k,-0.5990609098434448
163,Export,EC-Earth3-CC,Correlation_ice_k,0.1927783632054212
164,Export,MPI-ESM1-2-HR,Correlation_ice_k,0.0781220843832596
165,Export,ACCESS-ESM1-5,Correlation_ice_k,0.4717748289174294
166,Export,CMCC-ESM2,Correlation_ice_k,0.2613065127813477
167,Export,IPSL-CM6A-LR,Correlation_ice_k,0.2648403675772874
168,Iron,ACCESS-ESM1-5,Correlation_npp,0.1027141925271665
169,NPP,ACCESS-ESM1-5,Correlation_npp,
170,MLD,ACCESS-ESM1-5,Correlation_npp,-0.0263195619312177
171,Nitrate,ACCESS-ESM1-5,Correlation_npp,-0.2829725487628889
172,PAR,ACCESS-ESM1-5,Correlation_npp,0.3648116287949757
