Variable,Diatom,Diatom,Iron,Iron,MLD,MLD,NPP,NPP,Nitrate,Nitrate,PAR,PAR,SST,SST,Sea ice fraction,Sea ice fraction
Zone,Dec,Inc,Inc,Dec,Dec,Inc,Inc,Dec,Dec,Inc,Inc,Dec,Dec,Inc,Dec,Inc
Model,,,,,,,,,,,,,,,,
ACCESS-ESM1-5,,,0.088***,0.505***,-0.427***,-0.25***,0.919***,0.867***,0.092 ,-0.375***,0.698***,0.161*,0.396***,-0.193***,-0.452***,0.487***
CMCC-ESM2,0.397***,0.597***,0.3***,-0.006 ,-0.019 ,-0.008 ,0.566***,0.358***,-0.037*,0.089***,0.251***,0.274***,-0.304***,-0.141***,0.399***,0.159***
EC-Earth3-CC,0.476***,0.717***,,,-0.018 ,0.296***,0.717***,0.435***,0.006 ,0.06***,0.508***,0.108***,-0.038*,0.133***,0.04*,0.223***
IPSL-CM6A-LR,0.502***,0.661***,0.172***,0.194***,0.062***,-0.227***,0.562***,0.416***,-0.05***,-0.405***,0.379***,0.013 ,0.018 ,-0.3***,-0.04**,0.344***
MPI-ESM1-2-HR,,,-0.503***,-0.314***,-0.061***,-0.059***,0.71***,0.588***,-0.319***,-0.481***,0.548***,0.178***,0.082***,0.105***,0.011 ,0.126***
