Variable,Diatom,Diatom,Export,Export,Iron,Iron,MLD,MLD,Nitrate,Nitrate,PAR,PAR,SST,SST,Sea ice fraction,Sea ice fraction
Zone,Dec,Inc,Inc,Dec,Inc,Dec,Dec,Inc,Dec,Inc,Inc,Dec,Dec,Inc,Dec,Inc
Model,,,,,,,,,,,,,,,,
ACCESS-ESM1-5,,,0.919***,0.867***,0.089***,0.53***,-0.384***,-0.231***,0.005 ,-0.356***,0.717***,0.209**,0.439***,-0.157***,-0.435***,0.457***
CMCC-ESM2,0.906***,0.917***,0.566***,0.358***,0.265***,0.153***,-0.049**,0.009 ,0.085***,0.149***,0.407***,0.277***,-0.131***,-0.072***,0.25***,0.139***
EC-Earth3-CC,0.392***,0.699***,0.717***,0.435***,,,0.074***,0.365***,-0.218***,0.07***,0.656***,0.44***,0.139***,0.263***,0.22***,0.216***
IPSL-CM6A-LR,0.249***,0.442***,0.562***,0.416***,-0.105***,-0.164***,0.22***,-0.149***,0.021 ,-0.299***,0.623***,0.349***,0.192***,-0.074***,-0.047***,0.186***
MPI-ESM1-2-HR,,,0.71***,0.588***,-0.526***,-0.353***,-0.068***,-0.069***,-0.349***,-0.503***,0.596***,0.202***,0.073***,0.082***,0.013 ,0.157***
