Percentage,Correlation_npp,p-value_npp,Variable,Model,Correlation_npp_k,p-value_npp_k
5.54531574249268,0.932626760471986,0,Export,EC-Earth3-CC,0.711577547959394,0
66.3135681152344,0.370208313536735,1.45081711533178E-111,Surface temperature,EC-Earth3-CC,0.212090458089659,3.5079683114864E-77
-27.2074604034424,0.150797429826327,2.31405832569406E-26,Surface temperature,MPI-ESM1-2-HR,0.13976104459626,8.2668905176078E-49
4.76806545257568,0.918835495340873,0,Export,MPI-ESM1-2-HR,0.761538019677337,0
-9.82131576538086,-0.279206022157422,3.00364644998492E-86,Surface temperature,ACCESS-ESM1-5,-0.147111135705678,1.79422719828321E-52
24.9625091552734,0.962247834345429,0,Export,ACCESS-ESM1-5,0.920251182247126,0
-50.5637817382813,-0.082917566943212,2.51563517113449E-08,Surface temperature,CMCC-ESM2,-0.172086676017592,3.62972264332265E-67
11.1071605682373,0.435790758785546,4.27728585683346E-208,Export,CMCC-ESM2,0.616666123818689,0
0.517284154891968,0.972416239040336,0,Export,IPSL-CM6A-LR,0.603993890990296,0
-55.2881011962891,-0.221910020298615,1.46651204635016E-61,Surface temperature,IPSL-CM6A-LR,-0.035156746240595,0.00010244759833
