,Variable,Model,Zone,Type,Correlation
88,MLD,ACCESS-ESM1-5,Inc,Kendall,-0.2499949279704776
89,MLD,ACCESS-ESM1-5,Dec,Kendall,-0.4268502581755594
90,Nitrate,ACCESS-ESM1-5,Inc,Kendall,-0.3749013803026231
91,Nitrate,ACCESS-ESM1-5,Dec,Kendall,0.0917957544463568
92,PAR,ACCESS-ESM1-5,Inc,Kendall,0.6980525059200873
93,PAR,ACCESS-ESM1-5,Dec,Kendall,0.1606425702811245
94,Sea ice fraction,ACCESS-ESM1-5,Inc,Kendall,0.4869409529670035
95,Sea ice fraction,ACCESS-ESM1-5,Dec,Kendall,-0.4520940906483075
96,SST,ACCESS-ESM1-5,Inc,Kendall,-0.1929791578902306
97,SST,ACCESS-ESM1-5,Dec,Kendall,0.3958691910499139
98,Iron,CMCC-ESM2,Inc,Kendall,0.3001055929374094
99,Iron,CMCC-ESM2,Dec,Kendall,-0.0061344758849014
100,NPP,CMCC-ESM2,Inc,Kendall,0.5662374806409921
101,NPP,CMCC-ESM2,Dec,Kendall,0.3575995113287813
102,Diatom,CMCC-ESM2,Inc,Kendall,0.5969140409537811
103,Diatom,CMCC-ESM2,Dec,Kendall,0.3965953876219232
104,MLD,CMCC-ESM2,Inc,Kendall,-0.0077194033017959
105,MLD,CMCC-ESM2,Dec,Kendall,-0.0186990650467476
106,Nitrate,CMCC-ESM2,Inc,Kendall,0.0886079601383364
107,Nitrate,CMCC-ESM2,Dec,Kendall,-0.0365351297652508
108,PAR,CMCC-ESM2,Inc,Kendall,0.2510008800622657
109,PAR,CMCC-ESM2,Dec,Kendall,0.2737776154670527
110,Sea ice fraction,CMCC-ESM2,Inc,Kendall,0.1588927295005835
111,Sea ice fraction,CMCC-ESM2,Dec,Kendall,0.3992877147790922
112,SST,CMCC-ESM2,Inc,Kendall,-0.1413316047001575
113,SST,CMCC-ESM2,Dec,Kendall,-0.3044891233699184
114,NPP,EC-Earth3-CC,Inc,Kendall,0.7172274628668635
115,NPP,EC-Earth3-CC,Dec,Kendall,0.4347175874428377
116,Diatom,EC-Earth3-CC,Inc,Kendall,0.7174697990510347
117,Diatom,EC-Earth3-CC,Dec,Kendall,0.476420302393606
118,MLD,EC-Earth3-CC,Inc,Kendall,0.2958354605944998
119,MLD,EC-Earth3-CC,Dec,Kendall,-0.0183228278333951
120,Nitrate,EC-Earth3-CC,Inc,Kendall,0.0603939784473906
121,Nitrate,EC-Earth3-CC,Dec,Kendall,0.006146747414823
122,PAR,EC-Earth3-CC,Inc,Kendall,0.507689554148938
123,PAR,EC-Earth3-CC,Dec,Kendall,0.1081015943641082
124,Sea ice fraction,EC-Earth3-CC,Inc,Kendall,0.2232226935117565
125,Sea ice fraction,EC-Earth3-CC,Dec,Kendall,0.0395868009287633
126,SST,EC-Earth3-CC,Inc,Kendall,0.1331558312943973
127,SST,EC-Earth3-CC,Dec,Kendall,-0.0382606187945453
128,Iron,IPSL-CM6A-LR,Inc,Kendall,0.1718975770691484
129,Iron,IPSL-CM6A-LR,Dec,Kendall,0.1940486148351616
130,NPP,IPSL-CM6A-LR,Inc,Kendall,0.5616022857405165
131,NPP,IPSL-CM6A-LR,Dec,Kendall,0.4159092345990329
132,Diatom,IPSL-CM6A-LR,Inc,Kendall,0.660635276451566
133,Diatom,IPSL-CM6A-LR,Dec,Kendall,0.5023816300472151
134,MLD,IPSL-CM6A-LR,Inc,Kendall,-0.2265490597158751
135,MLD,IPSL-CM6A-LR,Dec,Kendall,0.0616902890863829
136,Nitrate,IPSL-CM6A-LR,Inc,Kendall,-0.4049412172400464
137,Nitrate,IPSL-CM6A-LR,Dec,Kendall,-0.0502677450152305
