Variable,Diatom,Diatom,Export,Export,Iron,Iron,MLD,MLD,NPP,NPP,Nitrate,Nitrate,PAR,PAR,SST,SST,Sea ice fraction,Sea ice fraction
Zone,Dec,Inc,Inc,Dec,Inc,Dec,Dec,Inc,Inc,Dec,Dec,Inc,Inc,Dec,Dec,Inc,Dec,Inc
Model,,,,,,,,,,,,,,,,,,
ACCESS-ESM1-5,,,25.1,-2.84,-2.46,-1.11,-6.97,-15.6,27.31,1.47,-2.26,-4.09,10.2,-3.54,18.3,-11.12,-28.09,-60.78
CMCC-ESM2,0.14,20.75,15.04,-4.64,10.23,7.41,-9.83,-7.64,19.66,1.72,-6.15,-6.8,9.16,-5.46,94.56,-58.46,-99.7,-55.11
EC-Earth3-CC,-6.42,12.58,11.39,-3.06,,,-18.98,-13.72,16.93,3.8,-4.06,-3.3,7.42,-1.16,66.45,65.0,-96.26,-88.3
IPSL-CM6A-LR,-12.37,6.31,7.51,-5.99,-13.18,-24.81,-10.2,-17.26,16.0,4.72,-4.48,-8.59,17.87,5.48,-44.29,-56.21,-77.9,-39.96
MPI-ESM1-2-HR,,,8.5,-3.51,-2.52,0.44,-14.07,-19.04,8.01,-4.11,2.22,-0.88,1.86,-5.54,24.53,-37.77,-69.69,-52.98
