Variable,.y.,n,statistic,df,p,method
Diatom,Kendall,6,3.8571428571428577,1,0.0495,Kruskal-Wallis
Iron,Kendall,8,0.08333333333333215,1,0.773,Kruskal-Wallis
MLD,Kendall,10,0.09818181818181415,1,0.754,Kruskal-Wallis
Nitrate,Kendall,10,3.152727272727269,1,0.0758,Kruskal-Wallis
NPP,Kendall,10,1.8436363636363637,1,0.175,Kruskal-Wallis
PAR,Kendall,10,5.770909090909086,1,0.0163,Kruskal-Wallis
Sea ice fraction,Kendall,10,0.8836363636363629,1,0.347,Kruskal-Wallis
SST,Kendall,10,0.2727272727272734,1,0.602,Kruskal-Wallis
