,Percentage,Correlation,p-value,Variable,Model,Export
0,-2.4684267044067383,0.0786579454146386,5.533611149941689e-08,Iron,ACCESS-ESM1-5,98.8232822021433
1,27.236970901489254,0.9622478455858804,0.0,NPP,ACCESS-ESM1-5,98.8232822021433
2,-15.450725555419922,-0.0026000711548608,0.8576861177530731,MLD,ACCESS-ESM1-5,98.8232822021433
3,-4.081036567687988,-0.2023793228315791,3.6010460110205164e-45,Nitrate,ACCESS-ESM1-5,98.8232822021433
4,10.126846313476562,0.232803399734304,1.3682121669362625e-59,PAR,ACCESS-ESM1-5,98.8232822021433
5,-60.33794021606445,0.1947368728479299,6.865782166973751e-42,Sea ice cover,ACCESS-ESM1-5,98.8232822021433
6,0.4200847744941711,-0.2175680363551353,4.287633352088832e-52,SST,ACCESS-ESM1-5,98.8232822021433
7,9.4312105178833,0.4805528843673534,6.532723721072782e-259,Iron,CMCC-ESM2,75.01110617503332
8,16.154680252075195,0.4357908066719566,4.276359320739966e-208,NPP,CMCC-ESM2,75.01110617503332
9,16.627368927001953,0.4684080476413882,2.2958202828517573e-244,Diatom,CMCC-ESM2,75.01110617503332
10,-8.443768501281738,0.1466012120673231,4.729617626987401e-23,MLD,CMCC-ESM2,75.01110617503332
11,-6.458160877227783,0.1546310376662497,1.712363391800156e-25,Nitrate,CMCC-ESM2,75.01110617503332
12,4.463072299957275,0.3613258221476475,6.456965208241759e-139,PAR,CMCC-ESM2,75.01110617503332
13,-64.69642639160156,0.2192365507636041,3.9742605421965576e-50,Sea ice cover,CMCC-ESM2,75.01110617503332
14,0.330637127161026,-0.2472340031342647,1.1183974534966586e-63,SST,CMCC-ESM2,75.01110617503332
15,12.727083206176758,0.932626695396752,0.0,NPP,EC-Earth3-CC,67.73910500146242
16,7.00269889831543,0.945449874020372,0.0,Diatom,EC-Earth3-CC,67.73910500146242
17,-14.979737281799316,0.3657645242465213,1.01320180139984e-108,MLD,EC-Earth3-CC,67.73910500146242
18,-3.552132129669189,0.1628999018227757,9.180676276407866e-22,Nitrate,EC-Earth3-CC,67.73910500146242
19,5.679640769958496,0.7310095384420715,0.0,PAR,EC-Earth3-CC,67.73910500146242
20,-89.41948699951172,0.1474182586486306,4.551108826118141e-18,Sea ice cover,EC-Earth3-CC,67.73910500146242
21,0.5022037029266357,0.2159835012683424,2.247278777733222e-37,SST,EC-Earth3-CC,67.73910500146242
22,-16.746124267578125,0.1482122193600839,4.838101468476847e-28,Iron,IPSL-CM6A-LR,52.311659605820594
23,10.6771879196167,0.9724162390403362,0.0,NPP,IPSL-CM6A-LR,52.311659605820594
24,-2.0686583518981934,0.9801055282449616,0.0,Diatom,IPSL-CM6A-LR,52.311659605820594
25,-13.352075576782228,-0.2198862353085172,1.9451551263125056e-60,MLD,IPSL-CM6A-LR,52.311659605820594
26,-5.896163940429688,-0.5477979609248892,0.0,Nitrate,IPSL-CM6A-LR,52.311659605820594
27,12.260889053344728,0.7380488335874051,0.0,PAR,IPSL-CM6A-LR,52.311659605820594
28,-55.470252990722656,0.3197643002484811,2.614283425545528e-129,Sea ice cover,IPSL-CM6A-LR,52.311659605820594
29,0.5319821834564209,-0.2929363672180181,6.874934674214554e-108,SST,IPSL-CM6A-LR,52.311659605820594
30,-1.5813790559768677,-0.67510537451502,0.0,Iron,MPI-ESM1-2-HR,66.42532064542822
31,4.3747878074646,0.9188353924684616,0.0,NPP,MPI-ESM1-2-HR,66.42532064542822
32,-18.06228256225586,0.0098327415903793,0.4943032751518132,MLD,MPI-ESM1-2-HR,66.42532064542822
33,0.0811335295438766,-0.6523030302720886,0.0,Nitrate,MPI-ESM1-2-HR,66.42532064542822
34,-1.1275559663772583,0.7959495583969317,0.0,PAR,MPI-ESM1-2-HR,66.42532064542822
35,-53.11725234985352,0.1862668391490791,7.503735029572809e-39,Sea ice cover,MPI-ESM1-2-HR,66.42532064542822
36,0.245645061135292,0.1735618168160649,5.299563770338723e-34,SST,MPI-ESM1-2-HR,66.42532064542822
