,Variable,Model,Season,Type,Correlation
366,NPP,EC-Earth3-CC,Summer,Correlation_npp,
367,NPP,EC-Earth3-CC,Winter,Correlation_npp,
368,Diatom,EC-Earth3-CC,Summer,Correlation_npp,0.7951758053429785
369,Diatom,EC-Earth3-CC,Winter,Correlation_npp,0.9905606482463168
370,MLD,EC-Earth3-CC,Summer,Correlation_npp,-0.0612630829527109
371,MLD,EC-Earth3-CC,Winter,Correlation_npp,0.3100048392784109
372,Nitrate,EC-Earth3-CC,Summer,Correlation_npp,-0.2082702921819175
373,Nitrate,EC-Earth3-CC,Winter,Correlation_npp,0.2223203687878569
374,PAR,EC-Earth3-CC,Summer,Correlation_npp,0.7195843441449271
375,PAR,EC-Earth3-CC,Winter,Correlation_npp,0.9681938064652368
376,SST,EC-Earth3-CC,Summer,Correlation_npp,0.4583105888867603
377,SST,EC-Earth3-CC,Winter,Correlation_npp,0.0427420971255503
378,Iron,IPSL-CM6A-LR,Summer,Correlation_npp,0.3142385686443245
379,Iron,IPSL-CM6A-LR,Winter,Correlation_npp,-0.4101339289398343
380,NPP,IPSL-CM6A-LR,Summer,Correlation_npp,
381,NPP,IPSL-CM6A-LR,Winter,Correlation_npp,
382,Diatom,IPSL-CM6A-LR,Summer,Correlation_npp,0.9746209061721876
383,Diatom,IPSL-CM6A-LR,Winter,Correlation_npp,0.9926587534035816
384,MLD,IPSL-CM6A-LR,Summer,Correlation_npp,-0.6912981024499534
385,MLD,IPSL-CM6A-LR,Winter,Correlation_npp,0.0522891601516438
386,Nitrate,IPSL-CM6A-LR,Summer,Correlation_npp,-0.6533526866560349
387,Nitrate,IPSL-CM6A-LR,Winter,Correlation_npp,0.1466371450046621
388,PAR,IPSL-CM6A-LR,Summer,Correlation_npp,0.8645256985547451
389,PAR,IPSL-CM6A-LR,Winter,Correlation_npp,0.9639754246472172
390,Sea ice fraction,IPSL-CM6A-LR,Summer,Correlation_npp,0.3885389404543453
391,Sea ice fraction,IPSL-CM6A-LR,Winter,Correlation_npp,-0.2789768417526753
392,SST,IPSL-CM6A-LR,Summer,Correlation_npp,-0.0171817142177994
393,SST,IPSL-CM6A-LR,Winter,Correlation_npp,0.1015050699854681
394,Iron,MPI-ESM1-2-HR,Summer,Correlation_npp,-0.6670303389538125
395,Iron,MPI-ESM1-2-HR,Winter,Correlation_npp,-0.0898392168511951
396,NPP,MPI-ESM1-2-HR,Summer,Correlation_npp,
397,NPP,MPI-ESM1-2-HR,Winter,Correlation_npp,
398,MLD,MPI-ESM1-2-HR,Summer,Correlation_npp,0.3566161371046319
399,MLD,MPI-ESM1-2-HR,Winter,Correlation_npp,-0.1382861799503977
400,Nitrate,MPI-ESM1-2-HR,Summer,Correlation_npp,-0.7059087253970847
401,Nitrate,MPI-ESM1-2-HR,Winter,Correlation_npp,-0.141188519227308
402,PAR,MPI-ESM1-2-HR,Summer,Correlation_npp,0.7601307410332637
403,PAR,MPI-ESM1-2-HR,Winter,Correlation_npp,0.9400184969450214
404,SST,MPI-ESM1-2-HR,Summer,Correlation_npp,0.5257482375223919
405,SST,MPI-ESM1-2-HR,Winter,Correlation_npp,-0.2990700888883301
406,Sea ice fraction,MPI-ESM1-2-HR,Summer,Correlation_npp,0.255449282235707
407,Sea ice fraction,MPI-ESM1-2-HR,Winter,Correlation_npp,-0.0085219503547181
408,Sea ice fraction,EC-Earth3-CC,Summer,Correlation_npp,-0.0377079795345313
409,Sea ice fraction,EC-Earth3-CC,Winter,Correlation_npp,0.005145266061375
410,Export,EC-Earth3-CC,Summer,Correlation_npp,0.706169065037449
411,Export,EC-Earth3-CC,Winter,Correlation_npp,-0.1803803075347936
412,Export,MPI-ESM1-2-HR,Summer,Correlation_npp,0.6816314298567071
413,Export,MPI-ESM1-2-HR,Winter,Correlation_npp,0.2569396813020648
414,Export,ACCESS-ESM1-5,Summer,Correlation_npp,0.913848269604894
415,Export,ACCESS-ESM1-5,Winter,Correlation_npp,0.4857410979857598
416,Export,CMCC-ESM2,Summer,Correlation_npp,0.1667413338418981
417,Export,CMCC-ESM2,Winter,Correlation_npp,-0.0180982709540789
418,Export,IPSL-CM6A-LR,Summer,Correlation_npp,0.9670487740046392
419,Export,IPSL-CM6A-LR,Winter,Correlation_npp,-0.1116758296251465
420,Iron,ACCESS-ESM1-5,Summer,Correlation_npp_k,0.062245879780124
421,Iron,ACCESS-ESM1-5,Winter,Correlation_npp_k,0.0194332921150253
422,NPP,ACCESS-ESM1-5,Summer,Correlation_npp_k,
423,NPP,ACCESS-ESM1-5,Winter,Correlation_npp_k,
424,MLD,ACCESS-ESM1-5,Summer,Correlation_npp_k,-0.3582029851790801
425,MLD,ACCESS-ESM1-5,Winter,Correlation_npp_k,-0.3173670410239262
426,Nitrate,ACCESS-ESM1-5,Summer,Correlation_npp_k,-0.3668098228322961
427,Nitrate,ACCESS-ESM1-5,Winter,Correlation_npp_k,-0.3144562252799776
428,PAR,ACCESS-ESM1-5,Summer,Correlation_npp_k,0.7138898117941289
429,PAR,ACCESS-ESM1-5,Winter,Correlation_npp_k,0.4356127934611978
430,Sea ice fraction,ACCESS-ESM1-5,Summer,Correlation_npp_k,0.418735241864315
431,Sea ice fraction,ACCESS-ESM1-5,Winter,Correlation_npp_k,0.4020196590976019
432,SST,ACCESS-ESM1-5,Summer,Correlation_npp_k,0.3094649784230909
433,SST,ACCESS-ESM1-5,Winter,Correlation_npp_k,-0.3835194464258226
434,Iron,CMCC-ESM2,Summer,Correlation_npp_k,0.0901263020960506
435,Iron,CMCC-ESM2,Winter,Correlation_npp_k,-0.0987286919535256
436,NPP,CMCC-ESM2,Summer,Correlation_npp_k,
437,NPP,CMCC-ESM2,Winter,Correlation_npp_k,
438,Diatom,CMCC-ESM2,Summer,Correlation_npp_k,0.9125159958023936
439,Diatom,CMCC-ESM2,Winter,Correlation_npp_k,0.7417469749423184
440,MLD,CMCC-ESM2,Summer,Correlation_npp_k,-0.13580018178315
441,MLD,CMCC-ESM2,Winter,Correlation_npp_k,-0.0033226281940673
442,Nitrate,CMCC-ESM2,Summer,Correlation_npp_k,-0.3329606117763635
443,Nitrate,CMCC-ESM2,Winter,Correlation_npp_k,-0.0868734235422103
444,PAR,CMCC-ESM2,Summer,Correlation_npp_k,0.1876747748896954
445,PAR,CMCC-ESM2,Winter,Correlation_npp_k,-0.150297254813983
446,Sea ice fraction,CMCC-ESM2,Summer,Correlation_npp_k,0.4092122457333734
447,Sea ice fraction,CMCC-ESM2,Winter,Correlation_npp_k,-0.1123383407285661
448,SST,CMCC-ESM2,Summer,Correlation_npp_k,-0.2186728172629471
449,SST,CMCC-ESM2,Winter,Correlation_npp_k,0.10176065529751
450,NPP,EC-Earth3-CC,Summer,Correlation_npp_k,
451,NPP,EC-Earth3-CC,Winter,Correlation_npp_k,
452,Diatom,EC-Earth3-CC,Summer,Correlation_npp_k,0.5637440538005197
453,Diatom,EC-Earth3-CC,Winter,Correlation_npp_k,0.8410375324532493
454,MLD,EC-Earth3-CC,Summer,Correlation_npp_k,0.1153966475936746
455,MLD,EC-Earth3-CC,Winter,Correlation_npp_k,0.1417972999681095
456,Nitrate,EC-Earth3-CC,Summer,Correlation_npp_k,0.1269683828938643
457,Nitrate,EC-Earth3-CC,Winter,Correlation_npp_k,-0.0036086630833749
458,PAR,EC-Earth3-CC,Summer,Correlation_npp_k,0.2546070828516338
459,PAR,EC-Earth3-CC,Winter,Correlation_npp_k,0.8009433699245376
460,SST,EC-Earth3-CC,Summer,Correlation_npp_k,0.2832848170191775
461,SST,EC-Earth3-CC,Winter,Correlation_npp_k,0.0143416049964368
462,Iron,IPSL-CM6A-LR,Summer,Correlation_npp_k,0.3800615913505076
463,Iron,IPSL-CM6A-LR,Winter,Correlation_npp_k,-0.2131317656634384
464,NPP,IPSL-CM6A-LR,Summer,Correlation_npp_k,
465,NPP,IPSL-CM6A-LR,Winter,Correlation_npp_k,
466,Diatom,IPSL-CM6A-LR,Summer,Correlation_npp_k,0.7373194259786712
467,Diatom,IPSL-CM6A-LR,Winter,Correlation_npp_k,0.877822706607648
468,MLD,IPSL-CM6A-LR,Summer,Correlation_npp_k,-0.6318804596908872
469,MLD,IPSL-CM6A-LR,Winter,Correlation_npp_k,0.1890700719029404
470,Nitrate,IPSL-CM6A-LR,Summer,Correlation_npp_k,-0.5513984921842541
471,Nitrate,IPSL-CM6A-LR,Winter,Correlation_npp_k,0.172168197229373
472,PAR,IPSL-CM6A-LR,Summer,Correlation_npp_k,0.317634676125726
473,PAR,IPSL-CM6A-LR,Winter,Correlation_npp_k,0.8492147228055008
474,Sea ice fraction,IPSL-CM6A-LR,Summer,Correlation_npp_k,0.3132060397208446
475,Sea ice fraction,IPSL-CM6A-LR,Winter,Correlation_npp_k,-0.1309365723469205
476,SST,IPSL-CM6A-LR,Summer,Correlation_npp_k,0.0149494582041742
477,SST,IPSL-CM6A-LR,Winter,Correlation_npp_k,0.1992468451681092
478,Iron,MPI-ESM1-2-HR,Summer,Correlation_npp_k,-0.4980049698319496
479,Iron,MPI-ESM1-2-HR,Winter,Correlation_npp_k,-0.0971712134915123
480,NPP,MPI-ESM1-2-HR,Summer,Correlation_npp_k,
481,NPP,MPI-ESM1-2-HR,Winter,Correlation_npp_k,
482,MLD,MPI-ESM1-2-HR,Summer,Correlation_npp_k,0.1880481642875197
483,MLD,MPI-ESM1-2-HR,Winter,Correlation_npp_k,-0.2457774068135756
484,Nitrate,MPI-ESM1-2-HR,Summer,Correlation_npp_k,-0.5191435652214696
485,Nitrate,MPI-ESM1-2-HR,Winter,Correlation_npp_k,-0.1543145686966995
486,PAR,MPI-ESM1-2-HR,Summer,Correlation_npp_k,0.5265396248013458
487,PAR,MPI-ESM1-2-HR,Winter,Correlation_npp_k,0.747690422717951
488,SST,MPI-ESM1-2-HR,Summer,Correlation_npp_k,0.3633613200113836
489,SST,MPI-ESM1-2-HR,Winter,Correlation_npp_k,-0.249273331323075
490,Sea ice fraction,MPI-ESM1-2-HR,Summer,Correlation_npp_k,0.2743464004568882
491,Sea ice fraction,MPI-ESM1-2-HR,Winter,Correlation_npp_k,0.2959487869876209
492,Sea ice fraction,EC-Earth3-CC,Summer,Correlation_npp_k,0.0997756751766323
493,Sea ice fraction,EC-Earth3-CC,Winter,Correlation_npp_k,0.2839021642516321
494,Export,EC-Earth3-CC,Summer,Correlation_npp_k,0.5000167720108682
495,Export,EC-Earth3-CC,Winter,Correlation_npp_k,-0.1543148222817191
496,Export,MPI-ESM1-2-HR,Summer,Correlation_npp_k,0.4429040986196891
497,Export,MPI-ESM1-2-HR,Winter,Correlation_npp_k,0.2477192830166749
498,Export,ACCESS-ESM1-5,Summer,Correlation_npp_k,0.8515303916770874
499,Export,ACCESS-ESM1-5,Winter,Correlation_npp_k,0.3977600989819426
500,Export,CMCC-ESM2,Summer,Correlation_npp_k,0.0482170357325204
501,Export,CMCC-ESM2,Winter,Correlation_npp_k,-0.1163239207122243
502,Export,IPSL-CM6A-LR,Summer,Correlation_npp_k,0.7048563478028109
503,Export,IPSL-CM6A-LR,Winter,Correlation_npp_k,-0.1014911971571101
